id,question,answer
48,Is there a provision for parents to stay in campus?,"Yes. REVA Guest House also known as Atithi offers accommodation for guests including parents, delegates, stakeholders, and invitees of staff members. Atithi is situated within the campus premises so that the guests can enjoy all the facilities inside the campus. REVA Guest House provides almost all the facilities such as housekeeping, hot water, parking, healthcare centre, purified water, and many more."
49,Do you have hostel in the campus?,"Yes, we have hostels inside the campus for both boys and girls."
50,Are the hostel rooms AC or Non AC?,We have both AC and Non AC hostel rooms in campus.
51,What are the facilities available in Hostel?,"Separate hostels for boys and girls. (Single, three, and four sharing)Other conveniencesFurnished roomsRO Water in all student hostelsHot water (Solar Heating)Reading room with newspaper & magazines (Girls & Boys)Tutorial room inside the HostelWriting board in each room24 hrs. water / electricityStandby Generator"
52,What is the difference between 3 year degree and 4 year degree with Research programmes?,"The four-year degree programmes have been introduced as per NEP – 2020. At the end of three years, based on the CGPA of candidates, they will have the options to choose Research/Honours. A candidate has the option to exit after completion of 3 years and take a degree."
53,Why is REVA University offering a 4-year undergraduate degree programme when other universities are offering 3-year degree programme?,"REVA University has been a pioneer in implementing progressive initiatives by the government since its inception. Therefore, in the year 2021 itself, REVA University had introduced 4-year undergraduate degree programmes as per New Education Policy -NEP 2020. All the same, REVA University is also continuing this year with 3 years degree program, which may be discontinued next year."
54,What is 4-year degree (Honours/Research) as per National Education Policy 2020?,"The structure and duration of 4-year Bachelors degree programmes proposed by the NEP 2020 comprise undergraduate degree programmes of either 3 or 4-year duration, with multiple entry and exit points and re-entry options within this period, with appropriate certifications such as:a Certificate after completing 1 year (2 semesters) of study in the chosen fields of studya Diploma after 2 years (4 semesters) of studya Bachelor’s degree after a 3-year (6 semesters) programme of studya Bachelor’s degree with Honours/Research after a 4-year (eight semesters) programme of study (After completing the requirements of a 3-year Bachelors degree, candidates who meet a minimum CGPA of 7.5 will be allowed to continue studies in the fourth year of the undergraduate programme leading to the Bachelors degree (Honours /Research))."
55,What will be the structure and duration of the Masters programme after a 3- or 4-year undergraduate degree programme as per NEP- 2020?,The NEP 2020 envisages flexibility in the design and duration of the Masters Degree programme. The structure and duration of Masters programmes of study proposed by the NEP 2020 include:A 2-year Masters programme with the second year devoted entirely to research for those who have completed the 3-yearBachelorsprogramme.A 1-year Masters programme for students who have completed a 4-year Bachelors degree (Honours/Research) programme with research.
56,Is there any minimum eligibility criteria required to opt Honours/Research degree after completion of 3 years?,"After the completion of a 3-year course, a candidate must obtain a minimum CGPA of 7.5 to be allowed to continue studies in the fourth year of the undergraduate programme leading to the Bachelors degree with Honours/Research."
57,What is Academic Bank of Credits (ABC)?,Academic Bank of Credits (ABC) has been established with the purpose of storing the academic credits earned from various recognised HEIs (Higher Education Institutions) so that the degrees from an HEI can be awarded taking into account credits earned. The ABC allows for credit redemption through the process of commuting the acquired credit in the bank accounts maintained in the ABC for the purpose of fulfilling the credit requirement for the award of Certificate/Diploma/Degree by the authorised Universities/Autonomous colleges.
58,What is the maximum duration to re-enter a programme after an exit to complete the degree?,"After seven years, re-entry at various levels as lateral entrants in academic programmes should be based on the earned credits and proficiency test records.Normally, students are expected to complete the four-year undergraduate programme in eight semesters. However, in special circumstances, a student will be permitted an extension, so as to enable her/him to complete all requirements for the degree. The four-year undergraduate programme allows exit and re-entry options for students. It would allow credit accumulation through the facility created by the Academic Bank of Credit (ABC) scheme. The validity of credits earned and kept in the Academic Credit Account would be seven years. After seven years, re-entry into a programme of study will be based on the validation of prior learning outcomes."
